,title
18107,Anonymous ( 2011 )
4910,Another 48 Hrs. ( 1990 )
17716,Another Earth ( 2011 )
11492,Another Gay Movie ( 2006 )
18189,Another Happy Day ( 2011 )
16345,Another Year ( 2010 )
26606,Ant-Man ( 2015 )
40752,Anthropoid ( 2016 )
13802,Antichrist ( 2009 )
46351,Antidur ( 2007 )
34272,Antikiller ( 2002 )
45025,Antikiller D.K ( 2009 )
3933,Antitrust ( 2001 )
5839,Antwone Fisher ( 2002 )
2187,Antz ( 1998 )
3065,Any Given Sunday ( 1999 )
2943,Anywhere But Here ( 1999 )
4350,Apartment Zero ( 1988 )
1172,Apocalypse Now ( 1979 )
11333,Apocalypto ( 2006 )
147,Apollo 13 ( 1995 )
18505,Apollo 18 ( 2011 )
13004,Appaloosa ( 2008 )
9642,Appleseed ( 2004 )
10879,Aquamarine ( 2006 )
41325,Aquarius ( 2016 )
22326,Aquí Entre Nos ( 2012 )
2593,Arachnophobia ( 1990 )
19494,Arbitrage ( 2012 )
9681,Are We There Yet? ( 2005 )
19649,Argo ( 2012 )
1814,Armageddon ( 1998 )
2351,Armed and Dangerous ( 1986 )
14561,Armored ( 2009 )
7854,Around the World in 80 Days ( 2004 )
929,Around the World in Eighty Days ( 1956 )
39222,Arrambam ( 2013 )
41557,Arrival ( 2016 )
3412,Arthur ( 1981 )
17024,Arthur ( 2011 )
11540,Arthur and the Invisibles ( 2006 )
6716,Article 99 ( 1992 )
38503,Arundhati ( 2009 )
24060,"As Above, So Below ( 2014 )"
1695,As Good as It Gets ( 1997 )
42761,Assassin's Creed ( 2016 )
14302,Assassination of a High School President ( 2008 )
22,Assassins ( 1995 )
9680,Assault on Precinct 13 ( 2005 )
12555,Assembly ( 2007 )
9733,Assisted Living ( 2005 )
14772,Asterix at the Olympic Games ( 2008 )
14436,Astro Boy ( 2009 )
3925,At Close Range ( 1986 )
16796,At Long Last Love ( 1975 )
7680,At Play in the Fields of the Lord ( 1991 )
5299,Atanarjuat: The Fast Runner ( 2002 )
2027,Atlantic City ( 1980 )
4248,Atlantis: The Lost Empire ( 2001 )
17042,Atlas Shrugged Part I ( 2011 )
24122,Atlas Shrugged Part III: Who is John Galt? ( 2014 )
45571,Atomic Blonde ( 2017 )
12089,Atonement ( 2007 )
14238,Attack of the 50 Foot Woman ( 1958 )
17266,Attack the Block ( 2011 )
12216,August Rush ( 2007 )
22192,August: Osage County ( 2013 )
21661,Austenland ( 2013 )
5363,Austin Powers in Goldmember ( 2002 )
1458,Austin Powers: International Man of Mystery ( 1997 )
2577,Austin Powers: The Spy Who Shagged Me ( 1999 )
13167,Australia ( 2008 )
5562,Auto Focus ( 2002 )
6665,Avalon ( 2001 )
14613,Avatar ( 2009 )
26602,Avengers: Age of Ultron ( 2015 )
12254,Awake ( 2007 )
13497,Away We Go ( 2009 )
38483,Ayan ( 2009 )
43634,Ayurveda: Art of Being ( 2001 )
44519,Baahubali 2: The Conclusion ( 2017 )
31956,Baahubali: The Beginning ( 2015 )
33,Babe ( 1995 )
2277,Babe: Pig in the City ( 1998 )
11121,Babel ( 2006 )
4253,Baby Boy ( 2001 )
44588,Baby Driver ( 2017 )
2448,Baby Geniuses ( 1999 )
12619,Baby Mama ( 2008 )
4978,Baby's Day Out ( 1994 )
12951,Babylon A.D. ( 2008 )
3413,Bachelor Party ( 1984 )
19435,Bachelorette ( 2012 )
37955,Bachna Ae Haseeno ( 2008 )
1232,Back to the Future ( 1985 )
1908,Back to the Future Part II ( 1989 )
1909,Back to the Future Part III ( 1990 )
2999,Backdraft ( 1991 )
142,Bad Boys ( 1995 )
6423,Bad Boys II ( 2003 )
5296,Bad Company ( 2002 )
7630,Bad Day at Black Rock ( 1955 )
4354,Bad Dreams ( 1988 )
8276,Bad Education ( 2004 )
21989,Bad Grandpa ( 2013 )
3163,Bad Lieutenant ( 1992 )
40626,Bad Moms ( 2016 )
1135,Bad Moon ( 1996 )
10253,Bad News Bears ( 2005 )
6829,Bad Santa ( 2003 )
42121,Bad Santa 2 ( 2016 )
17348,Bad Teacher ( 2011 )
23041,Bad Words ( 2013 )
30103,Badlapur ( 2015 )
17908,Badmaash Company ( 2010 )
21878,Baggage Claim ( 2013 )
35603,Bajirao Mastani ( 2015 )
31828,Bajrangi Bhaijaan ( 2015 )
42872,Ballerina ( 2016 )
5488,Ballistic: Ecks vs. Sever ( 2002 )
12413,Bamako ( 2006 )
1915,Bambi ( 1942 )
1053,Bananas ( 1971 )
5909,Band of Outsiders ( 1964 )
3331,Band of the Hand ( 1986 )
10784,Bandidas ( 2006 )
4727,Bandits ( 2001 )
14093,Bandslam ( 2009 )
33193,Bangalore Days ( 2014 )
12966,Bangkok Dangerous ( 2008 )
663,Barbarella ( 1968 )
29552,Barbecue ( 2014 )
5453,Barbershop ( 2002 )
